text,category,email_length,num_questions,num_exclamations,contains_table,has_po,has_gst,has_model,has_urgent,has_project,has_specs,has_legal,has_pricing_word,has_certification_request,follow_up_signal,is_escalation,context_reference
Reminder: We're still awaiting the quote promised last Tuesday Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,116,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1
Kindly send the pending quotation for extinguishers we requested Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,118,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
What maintenance schedule do you recommend for aerosol systems? Preferred Model No: ABC-6KG.,general_enquiry,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Do you provide Bangalore service visits for installed systems?,general_enquiry,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delivered extinguishers are past expiry. Requesting urgent resolution.... Preferred Model No: DCP-4KG.,complaint,101,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Reminder: We're still awaiting the quote promised last Tuesday... Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,119,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1
"Dear Sir, we require the following material for our MRVCL, Mumbai Railway Project: 120 Nos of 6.5 kg CO2 type fire extinguishers. Please quote your best possible minimum rates along with the delivery ... Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request,257,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"Dear Sir, We have a requirement of ""SCBA SET   04 NOS & SPARES SCBA CYLINDERS   04 NOS"" as per the attached specifications sheet. END USER: GRSE   KOLKATA We request you to kindly forward the techno c... As per PO #80650.",general_enquiry,222,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Delivered extinguishers are past expiry. Requesting urgent resolution....,complaint,73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Reminder: We're still awaiting the quote promised last Tuesday... Preferred Model No: FMX-2.5L.,follow_up,93,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
What's the expected lifespan of your AVD blankets under constant 50°C operating temperatures?,general_enquiry,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do you offer certified training programs for handling chemical fires using your DCP systems?,general_enquiry,92,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Please share the maintenance schedule for aerosol systems installed in server rooms with 24/7 operation.,general_enquiry,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Are your CO2 extinguishers compatible with high-voltage (33kV) electrical equipment as per latest IEC standards? Kindly include GST No: 27AAACX1234Z1Z in the invoice.,general_enquiry,171,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
We need confirmation if your FPS systems can integrate with our existing Siemens fire alarm panels. Our GST No: 27AABCU9603R1ZV is applicable.,general_enquiry,153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
What's the lead time for 50+ units of marine-grade extinguishers with SOLAS certification? Preferred Model No: FMX-2.5L.,general_enquiry,118,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Do you provide onsite refilling services for DCP extinguishers in the Mumbai region? Kindly include GST No: 27AAACX1234Z1Z in the invoice.,general_enquiry,138,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Please confirm if your 9L foam extinguishers are compatible with AR-AFFF concentrate. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,general_enquiry,144,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Can you share the test reports for your FDSS from the last 3 years? Our GST No: 27AABCU9603R1ZV is applicable.,general_enquiry,121,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
URGENT: The newly installed suppression system failed during mandatory testing - jets didn't activate and control panel showed error E45. Need immediate replacement! Preferred Model No: CO2-5KG.,complaint,193,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Unacceptable! Received 15 expired extinguishers (MFG 2020) against our PO for new stock. Demand full refund plus penalty. Preferred Model No: FMX-2.5L.,complaint,149,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1
Your technician left our FDSS in worse condition - now showing constant false alarms disrupting operations. Send senior engineer ASAP.,complaint,134,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Third complaint about leaking DCP extinguishers - this time causing ₹2L damage to sensitive equipment. Will escalate legally.,complaint,125,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
The 'ISI-certified' brackets supplied last week broke during routine inspection - provide genuine certified replacements immediately.,complaint,133,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Your team missed 3 scheduled maintenance visits despite reminders. Considering terminating AMC contract. As per PO #69129. Preferred Model: DCP-6L.,complaint,132,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
"False advertising! The 10kg CO2 units delivered hold only 8.5kg as per our calibration check. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,157,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
System critical issue: Aerosol generators didn't deploy during controlled test fire. Complete system failure!,complaint,109,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Unauthorized substitution: Received Kanex extinguishers instead of contracted Firefite units. Breach of terms! Preferred Model No: FMX-2.5L.,complaint,138,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Safety hazard: Multiple extinguishers from batch #FH2241 have defective pressure gauges showing false 'full' readings.,complaint,118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Follow-up #4: Still awaiting response on our complaint about faulty heat detectors installed 3 weeks ago. Escalating to management.,follow_up,131,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
Reminder: Pending quotation for 35 ABC extinguishers needed for upcoming safety audit (originally requested 15 days ago).,follow_up,121,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
Kindly update on the status of PO #2241 approval - our procurement deadline is tomorrow EOD. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,146,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
Second follow-up: No response yet on the technical queries sent last week regarding FDSS integration. As per PO #34127.,follow_up,120,0,0,1,1,0,0,0,0,1,0,0,0,2,1,1
"Please confirm receipt of our signed contract and share implementation timeline for the approved fire system. As per PO #35038. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",follow_up,173,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Gentle reminder: The promised callback about training schedule never came. We need dates confirmed urgently. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,162,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
Following up on our discussion about the customized 50kg foam system - awaiting your feasibility report.,follow_up,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Requesting update: Has finance approved the quoted ₹12.8L for the warehouse suppression upgrade? As per PO #36036.,follow_up,115,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"Per our call yesterday, please share the revised proposal for AMC services by today 4PM. As per PO #68046.",follow_up,107,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Reminder: Tomorrow is the scheduled installation date - kindly confirm crew arrival time.,follow_up,89,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Awaiting your response on the warranty claim filed 10 days ago (Ticket #FC-2241). Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,135,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
"Per our call yesterday, please share the revised proposal for AMC services by today 4PM.... Reference PO#: 87518.",follow_up,110,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"Dear Team, Greetings from Tiger Fire! ... interest in representing your esteemed brand... As per PO #67854.",general_enquiry,108,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Requesting your best quote for 50 units of 9kg ABC powder extinguishers with ISI certification for our new factory in Pune. Required with wall brackets and maintenance certificates. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,quotation_request,241,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"Kindly provide quotation for 10 nos. of 45kg CO2 trolley-mounted extinguishers with SOLAS certification for our marine project. Delivery needed within 3 weeks to Mumbai port. Preferred Model: FM-200. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",quotation_request,242,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
Please quote your most competitive rates for 25 sets of 6kg DCP extinguishers with IRS approval for our offshore platform. Include installation charges if applicable.,quotation_request,185,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"We require urgent pricing for 100 units of 2kg aerosol fire suppression systems for server racks. Must have UL/CE certification and 3-year warranty. Reference PO#: 11940. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",quotation_request,226,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1
"Request for quotation: 15 nos. 9L foam extinguishers with spare charges and 5 nos. 50kg wheeled foam units. Project: Tata Steel Gopalpur, required by 15th next month.",quotation_request,189,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Kindly send commercial offer for 30 pieces of 4.5kg CO2 extinguishers with 90% MAP powder and wall brackets. Preferred brands: Minimax or Firefite. Preferred Model No: ABC-6KG.,quotation_request,199,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Please quote for annual maintenance contract for 150 extinguishers across our 5 retail outlets in Bangalore. Include refilling, inspection and certification costs. Preferred Model No: FMX-2.5L.",quotation_request,211,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
Urgent: Need best rates for 200kg clean agent fire suppression system for our data center. Required with FM-200 agent and UL300 approval. As per PO #33252. Preferred Model: DCP-6L.,quotation_request,204,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1
"Requesting quotation for 8 sets of kitchen hood suppression systems as per NFPA96. Include design, installation and commissioning charges.",quotation_request,176,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Please provide rates for 60 nos. 6kg ABC extinguishers with BIS certification for our housing project. Delivery required in 3 batches over 6 months.,quotation_request,191,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Kindly submit quotation for 12 nos. 135L mechanical foam extinguishers with spare cartridges for our oil terminal. Must meet OISD standards.,quotation_request,184,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
We require pricing for 25 units of vehicle-mounted 50kg DCP systems for our mining trucks. Include mounting brackets and maintenance training. Our GST No: 27AABCU9603R1ZV is applicable.,quotation_request,236,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Please quote for 40 sets of 2kg FE36 clean agent extinguishers for electronics lab. Required with thermal indicators and wall signs. Our GST No: 27AABCU9603R1ZV is applicable.,quotation_request,228,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Request your best offer for 18 nos. 9kg CO2 extinguishers with frost-free horns for our pharmaceutical cold storage units. As per PO #76506.,quotation_request,187,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Kindly provide rates for 75 units of 6kg ABC extinguishers with aluminum shells for our corporate offices. Bulk discount expected.,quotation_request,173,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The 15 extinguishers delivered yesterday all have pressure gauges in red zone. Request immediate replacement as this is safety critical.,complaint,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Our received 10kg CO2 units are leaking from valves. Batch No. FE2234. Please arrange technician visit or replacement within 24 hours.,complaint,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The installed kitchen suppression system failed during mandatory testing. Jets didn't activate and control panel showed error E12. Unacceptable!,complaint,158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Received 25 units instead of 30 as per invoice #2245. Missing 5 nos. 6kg ABC extinguishers. Holding payment until resolved. As per PO #46500. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,209,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Your technician damaged our server room wall during FDSS installation. Provide compensation or we'll deduct from final payment. Reference PO#: 27246.,complaint,155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"The refilled DCP extinguishers show only 80% weight as per our verification. Demand proper refilling or full refund. Preferred Model No: FMX-2.5L. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,192,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Third follow-up: Still awaiting resolution for leaking foam extinguishers reported 2 weeks ago (Ticket #FC-1123). Escalating to management. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Preferred Model: ULX-2.5L.,complaint,212,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1
The 'UL-certified' control panel supplied last month is clearly counterfeit. This violates our contract terms - serious action will follow.,complaint,147,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Maintenance team arrived 4 hours late without prior notice, disrupting our operations. Unprofessional and unacceptable.",complaint,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The installed aerosol system discharged accidentally, causing ₹1.5L equipment damage. Provide root cause analysis and compensation. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",complaint,215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Received wrong model - FAS500 instead of FAS5000 as ordered. This delay is impacting our project timeline significantly. Preferred Model No: FMX-2.5L.,complaint,170,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Your team left installation incomplete with exposed wiring. Failed safety audit as a result. Require urgent completion. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,188,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The annual maintenance was not performed as scheduled despite 3 reminders. Considering legal termination of contract. As per PO #84820.,complaint,148,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
Brackets supplied with extinguishers are corroding within 2 months - clearly substandard material used. Replace with SS304 as promised. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,210,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"The training session promised with AMC was never conducted. Either arrange within 7 days or provide refund. Preferred Model No: DCP-4KG. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,201,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Please share technical specifications and test certificates for your 6kg ABC extinguishers. Need for compliance documentation.,general_enquiry,124,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Do you provide customized color options for corporate branding of extinguishers? We require matching our RAL7021 grey standard.,general_enquiry,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Requesting product catalog and agency terms for distributing your fire safety products in Middle East region.,general_enquiry,108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
What's the lead time for 50+ units of marine extinguishers with MED approval? Need for upcoming vessel drydock. Preferred Model No: CO2-5KG.,general_enquiry,126,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Can your FDSS integrate with existing Siemens FS720 fire alarm panel? Need confirmation before procurement. Preferred Model No: DCP-4KG.,general_enquiry,140,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Please share maintenance schedule and checklist for aerosol systems in 24/7 data center environment.,general_enquiry,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do you offer certified training programs for handling chemical fires using your DCP systems? Need for 15 staff members. Preferred Model No: CO2-5KG.,general_enquiry,162,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Requesting MSDS sheets for all foam concentrates used in your extinguishers for our safety compliance records.,general_enquiry,105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
What warranty do you provide on your clean agent systems? Need details on coverage and claim process.,general_enquiry,97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Are your CO2 extinguishers suitable for 33kV switchgear protection as per latest IEC standards? Preferred Model No: DCP-4KG.,general_enquiry,146,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Please confirm if your kitchen systems meet the new EN2-2018 standards for restaurant applications.,general_enquiry,106,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Do you have UL-approved models of your 9kg DCP extinguishers available for US projects?,general_enquiry,92,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Requesting site visit to demonstrate your vehicle suppression systems for our mining equipment fleet.,general_enquiry,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What's the expected service life of your AVD fire blankets under constant 45°C industrial environment?,general_enquiry,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can you provide references from recent clients who installed your data center suppression systems? As per PO #46464.,general_enquiry,123,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Gentle reminder: Awaiting quotation for 35 ABC extinguishers requested 10 days ago. Our tender submission deadline is approaching.,follow_up,128,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
Follow-up #3: Still no response to our technical queries about FDSS integration sent on 15th March. Kindly reply today.,follow_up,132,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1
Please confirm receipt of our PO#2241 for 50 extinguishers and share expected delivery date. Procurement team requires update.,follow_up,124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Reminder: Tomorrow is scheduled installation date for kitchen system. Kindly confirm crew arrival time. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,169,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Following up on our discussion about customized 100kg foam system - awaiting your feasibility report promised last week. As per PO #66702.,follow_up,137,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"Second reminder: The leaking extinguishers reported under warranty claim #WC-331 still not replaced after 2 weeks. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",follow_up,174,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1
Kindly update on status of our complaint about faulty heat detectors (Ticket #FC-2241). Escalating if no resolution by EOD. Reference PO#: 70305.,follow_up,148,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
"Per our call yesterday, awaiting revised AMC proposal by today 4PM as discussed. Need for management review.",follow_up,121,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Requesting update: Has finance approved the quoted ₹8.5L for warehouse suppression upgrade? Decision needed urgently. As per PO #34086.,follow_up,126,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1
Follow-up: The training certificates promised after last month's session still not received. Required for compliance audit. Reference PO#: 66943.,follow_up,134,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
Reminder: Payment processed as per invoice #4451. Please share dispatch details and expected delivery timeline.,follow_up,118,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Following up on demo unit request for your vehicle suppression system. Need confirmation of availability this week. Preferred Model No: DCP-4KG.,follow_up,157,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Kindly send installation completion certificate for FDSS commissioned last month. Required for safety compliance file. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,176,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Reminder: Annual maintenance due next week. Please share technician schedule and checklist in advance. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,follow_up,170,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Follow-up: No response to our request for extended warranty terms sent 7 days ago. Kindly prioritize.,follow_up,127,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
The delivered CO2 extinguishers (Batch #FE-2234) are leaking from the valve seals. We need immediate replacement as this poses safety risks. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,204,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
PO#44521: Received 25 units instead of the 30 we ordered. Missing 5 ABC 6kg extinguishers. Please rectify immediately. As per PO #53269.,complaint,132,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Installation team left wiring exposed on our FDSS system. This failed our safety inspection. Require urgent remediation. As per PO #10252.,complaint,128,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
The annual maintenance wasn't performed as scheduled on 15/03 despite confirmation. This violates our AMC terms. As per PO #23918.,complaint,136,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Multiple extinguishers from delivery batch #FH2241 have stuck pressure gauges showing false 'full' readings.,complaint,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Received DCP models FX-300 instead of ordered FX-500. Wrong specifications for our chemical plant requirements.,complaint,118,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Your technician damaged our server room wall during suppression system installation. Provide repair compensation. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,206,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Refilled DCP units only contain 80% of rated powder weight as per our verification. Demand proper refilling.,complaint,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The kitchen suppression system failed during testing - no agent release when triggered with test fire.,complaint,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three 9L foam extinguishers arrived without mounting brackets as specified in PO#5512. Send missing parts ASAP.,complaint,114,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Could you confirm if your 6kg CO2 extinguishers are compatible with 33kV electrical equipment per IEC 60900? Our GST No: 27AABCU9603R1ZV is applicable. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",general_enquiry,241,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
We're evaluating fire systems for our new data center. Please share technical specs for your clean agent systems. Our GST No: 27AABCU9603R1ZV is applicable.,general_enquiry,160,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Do your marine extinguishers come with MED approval certificates? Need for offshore platform deployment.,general_enquiry,106,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Requesting maintenance schedule for aerosol systems in 24/7 industrial environments. Include inspection checklist.,general_enquiry,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Can you provide UL certification documents for your ABC stored-pressure extinguishers? Required for our audit. Preferred Model No: ABC-6KG.,general_enquiry,156,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
We haven't received the items yet. Could you please confirm dispatch?,follow_up,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindly let us know the expected delivery date for our order. As per PO #23679.,follow_up,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Please share the tracking ID for the shipment. Preferred Model No: CO2-5KG. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",follow_up,138,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Awaiting your update on the courier dispatch. As per PO #41936.,follow_up,64,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"Please confirm if the order has been shipped. Preferred Model No: ABC-6KG. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",follow_up,138,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Can you please provide the AWB number for the delivery? As per PO #97305. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",follow_up,133,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"Following up on our previous email about the order status. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",follow_up,112,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
When can we expect delivery? Please advise.,follow_up,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindly share shipping details at the earliest.,follow_up,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a reminder to confirm shipment of the extinguishers.,follow_up,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Could you provide tracking details? Awaiting update.,follow_up,51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Requesting update on LR copy for dispatched items.,follow_up,51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Please confirm if our shipment has left your warehouse.,follow_up,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We request an update on the transport schedule.,follow_up,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Has the dispatch been initiated? Please let us know. Preferred Model No: CO2-5KG.,follow_up,84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"We received the wrong product. Please arrange replacement. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,177,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"The shipment was delayed beyond the committed date. Preferred Model No: CO2-5KG. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,142,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Some items are missing in the package. As per PO #32413.,complaint,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The unit delivered is damaged. Immediate action required.,complaint,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
The extinguishers are not working as expected.,complaint,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We’re unhappy with the service quality.,complaint,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
